Query,Label
SELECT * FROM users WHERE id = 1,0
"SELECT name, email FROM customers WHERE age > 18",0
"INSERT INTO products (name, price) VALUES ('laptop', 999.99)",0
UPDATE users SET last_login = NOW() WHERE id = 123,0
SELECT COUNT(*) FROM orders WHERE date >= '2023-01-01',0
SELECT product_name FROM inventory WHERE quantity > 0,0
"INSERT INTO logs (timestamp, message) VALUES (NOW(), 'User logged in')",0
DELETE FROM temp_files WHERE created_date < '2023-01-01',0
SELECT * FROM articles WHERE published = 1 ORDER BY date DESC,0
UPDATE settings SET value = 'enabled' WHERE setting_name = 'notifications',0
"SELECT u.name, p.title FROM users u JOIN posts p ON u.id = p.user_id",0
"INSERT INTO comments (post_id, content) VALUES (1, 'Great article!')",0
SELECT AVG(rating) FROM reviews WHERE product_id = 5,0
UPDATE inventory SET quantity = quantity - 1 WHERE product_id = 10,0
SELECT * FROM events WHERE event_date BETWEEN '2023-01-01' AND '2023-12-31',0
' OR '1'='1,1
'; DROP TABLE users; --,1
' UNION SELECT * FROM admin_users --,1
1' OR 1=1 --,1
admin'--,1
' OR 'x'='x,1
1; DELETE FROM products; --,1
"' UNION SELECT username, password FROM users --",1
1' OR '1'='1' /*,1
'; INSERT INTO admin (user) VALUES ('hacker'); --,1
' OR 1=1 #,1
"1' UNION SELECT null, @@version --",1
admin' OR 1=1 --,1
'; EXEC xp_cmdshell('dir'); --,1
' OR SLEEP(5) --,1
1' AND (SELECT COUNT(*) FROM users) > 0 --,1
' OR '1'='1' AND '1'='1,1
1; UPDATE users SET password = 'hacked' WHERE id = 1; --,1
' UNION ALL SELECT table_name FROM information_schema.tables --,1
1' OR EXISTS(SELECT * FROM users WHERE username = 'admin') --,1
